,tweet_id,retweet_count,favorite_count,followers_count
0,892420643555336193,8213,37693,7924974
1,892177421306343426,6074,32376,7924974
2,891815181378084864,4016,24379,7924974
3,891689557279858688,8370,41010,7924974
4,891327558926688256,9074,39207,7924974
5,891087950875897856,3010,19712,7924974
6,890971913173991426,1989,11529,7924974
7,890729181411237888,18249,63577,7924974
8,890609185150312448,4133,27093,7924974
9,890240255349198849,7133,31070,7924974
10,890006608113172480,7093,29883,7924974
11,889880896479866881,4817,27082,7924974
12,889665388333682689,9716,46828,7924974
13,889638837579907072,4384,26404,7924974
14,889531135344209921,2178,14724,7924974
15,889278841981685760,5201,24582,7924974
16,888917238123831296,4358,28361,7924974
17,888804989199671297,4139,24882,7924974
18,888554962724278272,3423,19310,7924974
19,888078434458587136,3375,21186,7924974
20,887705289381826560,5210,29411,7924974
21,887517139158093824,11327,45071,7924974
22,887473957103951883,17578,67149,7924974
23,887343217045368832,10097,32790,7924974
24,887101392804085760,5771,29781,7924974
25,886983233522544640,7522,34205,7924974
26,886736880519319552,3165,11731,7924974
27,886680336477933568,4320,21855,7924974
28,886366144734445568,3098,20636,7924974
29,886267009285017600,4,116,7924974
30,886258384151887873,6099,27271,7924974
31,886054160059072513,105,0,7924974
32,885984800019947520,6558,31764,7924974
33,885528943205470208,6221,35033,7924974
34,885518971528720385,3631,19910,7924974
35,885311592912609280,17967,0,7924974
36,885167619883638784,4246,21340,7924974
37,884925521741709313,17676,75325,7924974
38,884876753390489601,5441,27171,7924974
39,884562892145688576,4542,23642,7924974
40,884441805382717440,5486,26303,7924974
41,884247878851493888,19874,71022,7924974
42,884162670584377345,2886,19833,7924974
43,883838122936631299,3338,21328,7924974
44,883482846933004288,9623,44725,7924974
45,883360690899218434,3594,22096,7924974
46,883117836046086144,6456,36180,7924974
47,882992080364220416,3804,23319,7924974
48,882762694511734784,4749,27566,7924974
49,882627270321602560,5908,27204,7924974
50,882268110199369728,11239,43760,7924974
51,882045870035918850,4801,28578,7924974
52,881906580714921986,3295,23688,7924974
53,881666595344535552,10356,49286,7924974
54,881633300179243008,7,124,7924974
55,881536004380872706,15483,48147,7924974
56,881268444196462592,5029,22518,7924974
57,880935762899988482,2701,16616,7924974
58,880872448815771648,3713,20714,7924974
59,880465832366813184,6092,27791,7924974
60,880221127280381952,4092,26330,7924974
61,880095782870896641,4210,26925,7924974
62,879862464715927552,3392,21771,7924974
63,879674319642796034,10,301,7924974
64,879492040517615616,3084,22837,7924974
65,879415818425184262,43018,103127,7924974
66,879376492567855104,3019,16377,7924974
67,879130579576475649,6614,0,7924974
68,879050749262655488,4567,21971,7924974
69,879008229531029506,2614,18512,7924974
70,878776093423087618,4006,18936,7924974
71,878604707211726852,6992,29457,7924974
72,878404777348136964,1250,0,7924974
73,878316110768087041,6460,0,7924974
